106.5,106.5
212.5,106.5
319.034,106.5
425.5,106.5
531.5,106.5
637.703,106.5
744.449,106.5
850.5,106.5
106.5,212.5
212.5,212.5
319.034,212.5
425.5,212.5
531.5,212.5
637.703,212.5
744.449,212.5
850.5,212.5
106.5,319.08
212.5,319.03
319.034,319.03
425.5,319.03
531.5,319.03
637.703,319.045
744.449,319.029
850.5,319.016
106.5,425.5
212.5,425.5
319.034,425.5
425.5,425.5
531.5,425.5
637.703,425.5
744.449,425.5
850.5,425.5
106.5,531.5
212.5,531.5
319.034,531.5
425.5,531.5
531.5,531.5
637.703,531.5
744.449,531.5
850.5,531.5
106.5,637.698
212.5,637.698
319.05,637.698
425.5,637.698
531.5,637.698
637.703,637.697
744.448,637.699
850.5,637.698
